Date,Fans
2015-05-05T07:00:00+0000,10674344
2015-05-06T07:00:00+0000,10675719
2015-05-07T07:00:00+0000,10677129
2015-05-08T07:00:00+0000,10678151
2015-05-09T07:00:00+0000,10679555
2015-05-10T07:00:00+0000,10681036
2015-05-11T07:00:00+0000,10682188
2015-05-12T07:00:00+0000,10683507
2015-05-13T07:00:00+0000,10684913
2015-05-14T07:00:00+0000,10686313
2015-05-15T07:00:00+0000,10688092
2015-05-16T07:00:00+0000,10689785
2015-05-17T07:00:00+0000,10690740
2015-05-18T07:00:00+0000,10693317
2015-05-19T07:00:00+0000,10695195
2015-05-20T07:00:00+0000,10696596
2015-05-21T07:00:00+0000,10697575
2015-05-22T07:00:00+0000,10699043
2015-05-23T07:00:00+0000,10700130
2015-05-24T07:00:00+0000,10701562
2015-05-25T07:00:00+0000,10703034
2015-05-26T07:00:00+0000,10703753
2015-05-27T07:00:00+0000,10705274
2015-05-28T07:00:00+0000,10707439
2015-05-29T07:00:00+0000,10709249
2015-05-30T07:00:00+0000,10710467
2015-05-31T07:00:00+0000,10711898
2015-06-01T07:00:00+0000,10713302
2015-06-02T07:00:00+0000,10714858
2015-06-03T07:00:00+0000,10716216
2015-06-04T07:00:00+0000,10717194
2015-06-05T07:00:00+0000,10718216
2015-06-06T07:00:00+0000,10719672
2015-06-07T07:00:00+0000,10720990
2015-06-08T07:00:00+0000,10722496
2015-06-09T07:00:00+0000,10723760
2015-06-10T07:00:00+0000,10724926
2015-06-11T07:00:00+0000,10725319
2015-06-12T07:00:00+0000,10725779
2015-06-13T07:00:00+0000,10727082
2015-06-14T07:00:00+0000,10728084
2015-06-15T07:00:00+0000,10730214
2015-06-16T07:00:00+0000,10731851
2015-06-17T07:00:00+0000,10733505
2015-06-18T07:00:00+0000,10735030
2015-06-19T07:00:00+0000,10735767
2015-06-20T07:00:00+0000,10736369
2015-06-21T07:00:00+0000,10737735
2015-06-22T07:00:00+0000,10739783
2015-06-23T07:00:00+0000,10743057
2015-06-24T07:00:00+0000,10744924
2015-06-25T07:00:00+0000,10747472
2015-06-26T07:00:00+0000,10749965
2015-06-27T07:00:00+0000,10751253
2015-06-28T07:00:00+0000,10753389
2015-06-29T07:00:00+0000,10754986
2015-06-30T07:00:00+0000,10756985
2015-07-01T07:00:00+0000,10758638
2015-07-02T07:00:00+0000,10759392
2015-07-03T07:00:00+0000,10759829
2015-07-04T07:00:00+0000,10760661
2015-07-05T07:00:00+0000,10761241
2015-07-06T07:00:00+0000,10762159
2015-07-07T07:00:00+0000,10762699
2015-07-08T07:00:00+0000,10763613
2015-07-09T07:00:00+0000,10764194
2015-07-10T07:00:00+0000,10764834
2015-07-11T07:00:00+0000,10766722
2015-07-12T07:00:00+0000,10768774
2015-07-13T07:00:00+0000,10769193
2015-07-14T07:00:00+0000,10770586
2015-07-15T07:00:00+0000,10771790
2015-07-16T07:00:00+0000,10773088
2015-07-17T07:00:00+0000,10774409
2015-07-18T07:00:00+0000,10775571
2015-07-19T07:00:00+0000,10776525
2015-07-20T07:00:00+0000,10777066
2015-07-21T07:00:00+0000,10777600
2015-07-22T07:00:00+0000,10778199
2015-07-23T07:00:00+0000,10778471
2015-07-24T07:00:00+0000,10779127
2015-07-25T07:00:00+0000,10779608
2015-07-26T07:00:00+0000,10780108
2015-07-27T07:00:00+0000,10780620
2015-07-28T07:00:00+0000,10781354
2015-07-29T07:00:00+0000,10782064
2015-07-30T07:00:00+0000,10782718
2015-07-31T07:00:00+0000,10783908
2015-08-01T07:00:00+0000,10784169
2015-08-02T07:00:00+0000,10785223
2015-08-03T07:00:00+0000,10785817
2015-08-04T07:00:00+0000,10786299
2015-08-05T07:00:00+0000,10786819
2015-08-06T07:00:00+0000,10787269
2015-08-07T07:00:00+0000,10787806
2015-08-08T07:00:00+0000,10788301
2015-08-09T07:00:00+0000,10788725
2015-08-10T07:00:00+0000,10790134
2015-08-11T07:00:00+0000,10793022
2015-08-12T07:00:00+0000,10795021
2015-08-13T07:00:00+0000,10798475
2015-08-14T07:00:00+0000,10801534
2015-08-15T07:00:00+0000,10803215
2015-08-16T07:00:00+0000,10804222
2015-08-17T07:00:00+0000,10805137
2015-08-18T07:00:00+0000,10806002
2015-08-19T07:00:00+0000,10807097
2015-08-20T07:00:00+0000,10807729
2015-08-21T07:00:00+0000,10808232
2015-08-22T07:00:00+0000,10809548
